eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
World average,2.88099212419344,2.3129767004833,1.87597287662945,4.43036585855425,0.607916930821874,1.47821987380738
AA0101,46.7075031698451,35.0460601640819,24.3806165503973,NaN,14.3063063850092,30.2713566520278
AA0102,26.6406256828674,23.9011880084305,12.2021900790148,38.0164777653392,5.1586361558453,18.5415704929914
AA0103,46.8269396342867,35.2232276149009,18.9911836825203,67.6995966351544,13.7535301174152,29.253490775359
AA0104,16.2257224084545,13.6827672100873,7.2696967108866,24.3794925389127,3.9791105572875,11.6807646386395
AA0105,2.32526689482085,1.61371575486236,1.35700800021284,3.5044234257272,0.699872451073068,1.4745810696026
AA0106,8.35660432926284,6.60339331964588,3.22348691302466,12.4159270053097,2.44856028736023,5.53805576348205
AA0107,19.0353411260103,15.6559757867864,10.8994837447873,28.7096684537031,4.94553142545112,12.8027283626745
AA0108,25.3689600083619,18.8555899479218,18.7085458372736,37.9764835672965,4.51170622686443,15.6456165885883
AA0109,NaN,NaN,47.900131579591,NaN,NaN,NaN
AA0110,145.029601891862,104.702301241448,89.0407935457062,NaN,38.4021727138987,94.4589814622583
AA0111,6.55062067659886,5.01578176061045,2.57873447228499,9.40252840253773,1.95565393645477,4.0424664599622
AA0112,10.4113043238472,7.33217426812874,5.21805728107545,NaN,3.35518898348532,6.3018380497438
AA0113,7.76033983735834,6.4101288163761,5.1023462706031,10.7099766088597,1.93233483097852,5.05297841952569
AA0114,NaN,NaN,1310.85849515675,NaN,NaN,NaN
AA0115,2.81864577117873,2.26360494301665,1.12802563196911,4.23825761612859,0.874915642916452,1.79419605904373
AA0116,9.76982611395721,7.37144783747886,4.56229614316104,14.6604497915109,2.87267756931618,6.67083439595342
AA0117,12.9946825132341,9.89293780823685,7.9989599427428,19.5596191136775,3.35404907159511,8.08718120354104
AA0118,10.5370882206938,8.20509535073007,4.39679829526109,15.9509574081762,3.01526064031399,7.14203783671123
AA0119,8.51637029803434,6.44666902384252,3.94382310872621,12.6138780379421,2.65176823926148,5.46356285362994
AA0120,5.8993239123377,4.71463821959942,2.84973379327231,8.90972503561043,1.6963901114405,3.74212856625662
AA0121,2.73773367318203,2.26597739437541,1.05032034343505,3.90371842410609,0.678972488879972,1.65452511967994
AA0122,2.68396295455075,2.05048299718675,1.07069764355348,3.78365723265912,0.768663823424768,1.61361364729188
AA0123,3.14372889786027,2.47649296778415,1.34287788456344,4.37941061151299,0.751181742938966,2.0095845744277
AA0124,2.98959057342683,1.77969118450133,1.17683600970003,4.17547990080097,1.01185773736798,1.67955883652704
AA0125,34.1208908242263,24.9454810272108,20.3282074754819,49.4055691943607,9.11191535859052,21.9969664753311
AA0126,6.16944926322257,5.42490154884563,3.12351247641245,8.94996175889423,1.33532839045969,4.20954998138091
AA0127,12.3082938279176,10.4932002349253,7.30192504436313,18.8405859940968,2.97039216715772,8.95998269968895
AA0128,4.58550326268958,3.88279573358019,1.84443007372854,6.76547308666202,1.26325707793467,3.13076050585293
AA0201,2.90945846790054,2.8322083752734,1.43908108523914,4.60386002042714,0.665262416430681,1.51757838319029
AA0202,6.9365746791255,7.20018249974774,4.49525571870442,11.8989642281699,1.29843841334448,3.81246183432775
AA0203,6.74527382330856,7.07422808622944,3.51218532293263,NaN,0.955526236587641,3.76421896997765
AA0204,2.73276402601766,2.69885537942528,1.5392998276793,4.28045148675278,0.517488624516055,1.38537197563505
AA0401,NaN,NaN,155.741507889583,NaN,NaN,NaN
AA0402,5.00829108943617,4.85082267299267,3.81856926890576,9.5515924099637,1.17747508442241,2.5467016660149
AA0403,4.21743825126101,4.95074313978103,4.88721287599918,NaN,0.49361673570547,2.08906588134957
AA0404,4.53804802659714,5.81326713655207,5.2776070995039,10.5933597675387,0.676769688301444,2.78840878352438
AA0405,1.64365017500074,1.57823136421927,1.12088596034403,2.63842971180548,0.185044448983533,0.67559501228687
AA0406,4.75374736535451,4.92645757443106,3.14354447606493,7.96035509441565,0.568015005864935,2.20521342340754
AA0407,40.2532462745125,50.7257152974843,46.2717897206787,NaN,5.78403293161973,23.4268542168987
AA0408,8.10120377930163,9.17391618589062,7.09040850882976,15.1444318778461,0.996516799950163,3.85690561435491
AA0409,4.29633148461506,3.58753851081226,2.15928589255005,6.41558532931013,0.820663432820509,1.99769938569168
AA0410,8.94345849003684,8.74998022736553,4.86134902544655,14.5655637192435,0.952092021549129,3.74484239319421
AA0411,13.9059635955407,13.0176886662501,10.0816724483834,26.9131308621981,2.77725795737195,6.74381571291447
AA0412,12.3362015746119,12.9218648182842,10.7115769171433,27.7950551613629,3.1163631695271,6.79818364782206
AA0413,7.92203150630533,8.2346817373177,6.86670312150082,17.2262329134756,1.95064849724305,4.21272439470573
AA0414,10.0933310422408,14.6052240825212,13.7961912896093,NaN,1.38818828417361,6.29905904701144
AA0701,NaN,NaN,0.563108560603166,1.20900517647743,0.078710673073024,0.270094565659895
AA0702,0.440853069503925,0.393244150580594,0.37196820935847,0.821114092567112,0.057706725351103,0.175457755027997
AA0703,0.936013490408359,0.868772994371387,0.855812537005112,NaN,0.139125335215995,0.420209270596685
AA0704,0.379778682535681,0.348912914112558,0.328095893651531,NaN,0.055598743652469,0.157071093099576
AA0705,0.909189206502089,0.830991193375414,0.844164812539855,1.8148990549828,0.147502230783476,0.362319941976998
AA0706,0.42785826980649,0.417458610609804,0.357734446193381,0.770108486614863,0.049723418030071,0.189543310877225
AA0707,0.270754743053448,0.235666464746281,0.228464236743861,0.487786973410188,0.032511801068272,0.104958912447704
AA0708,3.43765760489237,3.48384416390273,1.51289184540763,5.84969170579521,0.952281044199302,1.94614661760501
AA0709,0.44384287815869,0.411541574676178,0.387029843697604,NaN,0.057785741728336,0.184480101858
AA0801,1.12286684240872,1.09722102293859,0.555545140324121,1.6680540766331,0.141906212215311,0.551198077692312
AA0802,1.3947428449319,1.14747211176956,0.956974424366448,NaN,0.153959164654464,0.575665550871271
AA0803,1.29403122861287,1.04192684357568,0.838543159532648,1.94046026848448,0.166578593233299,0.537829551962157
AA1001,16.7383085012327,17.4777717811902,11.9253616301427,NaN,5.72259730862836,10.2898390876765
AA1002,10.709294760931,9.55480744005455,9.0975715544755,17.7980733036155,1.85424255930887,6.97339345360161
AA1003,1.37427616318135,1.4442206371707,1.22135440575023,2.37649599342883,0.120608849588633,1.09406842506134
AA1101,NaN,NaN,20381.2008742528,NaN,NaN,NaN
AA1201,2.9912641284539,2.48030799505638,2.36434590620765,4.56839944922873,0.345232294125705,1.22513116080447
AA1202,4.099551329148,3.1002080481748,2.29750594199387,5.47040698063127,0.524003970025032,1.50521554843661
AA1203,8.51675203150957,7.16299816641097,4.19207107800175,12.482208281007,1.13496872024161,3.80321004520916
AA1204,30.500804022951,25.9796954034158,20.2885354730872,49.8936453802584,5.47264757624164,12.5274130312784
AA1205,27.4152944877252,22.0447927379879,15.2488204146809,39.8574232307955,3.74376425937215,11.031082618461
AA1206,23.2905961153267,18.7032885046881,10.1296580797823,32.2778224621403,3.66932177836721,10.410229422647
AA1207,2.96716601806035,2.4575071347234,1.7032943239112,4.62643101629602,0.378415872309433,1.21934251447663
AA1208,17.135955673423,13.8935779159105,7.97518119654635,24.579973044974,2.72256136991878,7.70691451056791
AA1209,3.52168147510912,2.75695967318647,1.91983265411686,5.12820314666346,0.441531320800368,1.36243115325992
AA1210,8.51809071134904,6.49450417145582,4.65046766936637,12.1678511621558,1.25854300899779,3.32229352949844
