Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,90,Guinea,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,175,Guinea-Bissau,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.09,Fc,Calculated data
EK,Livestock Patterns,91,Guyana,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,93,Haiti,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.1,Fc,Calculated data
EK,Livestock Patterns,95,Honduras,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,97,Hungary,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,99,Iceland,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,100,India,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.08,Fc,Calculated data
EK,Livestock Patterns,101,Indonesia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,102,Iran,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.05,Fc,Calculated data
EK,Livestock Patterns,103,Iraq,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,104,Ireland,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,105,Israel,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,106,Italy,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,109,Jamaica,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.11,Fc,Calculated data
EK,Livestock Patterns,110,Japan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
