eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
PA1305,5.9735491741937E-12,4.81839213369289E-12,3.38564298205984E-12,9.59292899165715E-12,7.93981469223738E-13,2.36888010931644E-12
PA1306,2.46539743540151E-12,1.70921672231262E-12,1.8943893717669E-12,3.98682683389452E-12,NaN,NaN
PA1307,1.62835527105165E-12,1.15548396981324E-12,1.21444070201496E-12,2.65425106530187E-12,2.07795928731651E-13,5.75569270223454E-13
PA1308,1.12215533771056E-12,8.46713143451354E-13,1.10051825002878E-12,1.99646574212255E-12,1.39523101865102E-13,4.03905405493516E-13
PA1309,2.17918793703689E-12,1.35779554377312E-12,1.75408147925934E-12,3.71401584012807E-12,2.63974614743711E-13,6.0974724389844E-13
PA1310,4.19152091122419E-13,2.95542365184143E-13,4.54054111711409E-13,7.83072626550301E-13,NaN,NaN
PA1311,3.50245753957416E-12,2.40008544430729E-12,2.47887447821069E-12,5.72338939749716E-12,4.67162141252988E-13,1.178833663335E-12
PA1312,3.90192728876181E-13,2.60272905073113E-13,3.82454982258951E-13,6.82365613215522E-13,NaN,NaN
PA1313,4.27614042321979E-13,2.64222593395891E-13,3.98873125492037E-13,6.8460802875881E-13,NaN,NaN
PA1314,9.23134777482421E-13,8.70259392269774E-13,9.47430701734461E-13,2.06509585240578E-12,NaN,NaN
PA1315,1.30452937442068E-12,9.47350592937645E-13,1.46062295783751E-12,NaN,1.81848152811008E-13,4.34254618766522E-13
PA1316,1.81399551516448E-12,1.48218259196438E-12,2.03261887224873E-12,NaN,2.51397600087928E-13,6.88863521862329E-13
PA1317,9.10563153836196E-13,6.22957825613924E-13,8.93394663579939E-13,1.60163921653382E-12,1.07942098701672E-13,2.94538111786954E-13
PA1318,4.48422481654698E-13,3.18410868005906E-13,4.52526503974639E-13,8.67233444817859E-13,5.65773838626609E-14,1.48709878573062E-13
PA1319,8.00613349101229E-12,5.78607356310293E-12,6.74280505755278E-12,1.32454336743683E-11,NaN,NaN
PA1320,1.47846531951164E-12,1.22781348813958E-12,1.49595111102449E-12,2.71284979539764E-12,1.95252648501927E-13,5.86154417023103E-13
PA1321,1.17005330776895E-13,9.25872644491215E-14,1.27531385131144E-13,2.06525104308704E-13,NaN,NaN
PA1322,2.95439226110687E-12,1.82881070967427E-12,2.03465860071243E-12,4.78329608559181E-12,3.56043920563393E-13,8.62940498909659E-13
PA1323,2.08050491014135E-12,2.18311402266494E-12,2.15938664444546E-12,4.23186153699633E-12,NaN,NaN
PA1324,5.76385754614009E-13,4.81449580480093E-13,7.19159309079943E-13,1.19590428068911E-12,8.19861885997042E-14,2.28645276232125E-13
PA1325,4.15921313136077E-13,3.69335247097471E-13,4.45837995037039E-13,7.83480395251502E-13,NaN,NaN
PA1326,9.48364965399806E-13,8.09668633340021E-13,8.9043114827291E-13,1.66946893439515E-12,1.20432310293108E-13,3.93264240128085E-13
PA1327,3.55380845663344E-14,3.14714705899031E-14,3.82785644334916E-14,6.42863299482755E-14,NaN,NaN
PA1328,9.76934934792805E-13,8.17444189810907E-13,9.37436311368939E-13,1.76569367995115E-12,NaN,NaN
PA1329,1.68118324558441E-13,1.46021208931208E-13,1.93073938639874E-13,3.19657049242057E-13,NaN,NaN
PA1330,3.10406914811968E-13,2.55575205435701E-13,3.3711644735749E-13,6.06089955541343E-13,4.26852798051633E-14,1.2688731405014E-13
PA1331,8.36148546412913E-13,6.01481669574392E-13,9.35747510741986E-13,NaN,NaN,NaN
PA1332,3.50031168712845E-13,2.36669700744784E-13,3.67356458817588E-13,5.81474657597288E-13,NaN,NaN
PA1333,NaN,NaN,1.65305063795336E-12,2.78947331209379E-12,NaN,NaN
